Shape,Model,Resolution,MegaPixel,FrameRate,PTZ,Infrared,Varifocal,SD Card Storage,Wifi,Onvif,Audio IN,Audio OUT,PoE,Upnp,JPEG URL,H264 URL,MJPEG URL,Default username,Default password,Detailed Shape / Type as in vendor catalog,Manufacturer
Box,WV-SP102,640X480,1.3,30,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-SP105,1280x960,1.3,30,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-SP305,1280 x 960,1.3,30,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-SP306,1280 x 960,1.3,30,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-SW172,800 x 600,1.3,30,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-ST162,800 x 600,1.3,30,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-SW175,1280 x 960,1.3,30,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-ST165,1280 x 960,1.3,30,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-SW314,1280 x 960,1.3,30,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-SW316,1280 x 960,1.3,30,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-SP508,1920 x 1080,3,30,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-SP509,1920 x 1080,3,30,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-SW316L,1280 x 960,1.3,30,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-SW174W,1280 x 960,1.3,30,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Dome,WV-SFN611L,1280 x 960,1.3,30,NO,YES,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Dome,WV-SFN631L,2048x1536,3,30,NO,YES,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Dome,WV-SF332,800 x 600,1.3,30,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Dome Cameras,Panasonic
Dome,WV-SF335,1280 x 960,1.3,30,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Dome Cameras,Panasonic
Dome,WV-SF336,1280 x 960,1.3,30,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Dome Cameras,Panasonic
Dome,WV-SF132,640 x 480,1.3,30,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Dome Cameras,Panasonic
Dome,WV-SF135,1280 x 960,1.3,30,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Dome Cameras,Panasonic
Dome,WV-SF138,1920x1080,2,30,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Dome Cameras,Panasonic
Dome,WV-CP300,?,?,?,YES,NO,NO,?,NO,NO,?,?,?,NO,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Dome Cameras,Panasonic
Dome,WV-SF538,1920 x 1080,3,30,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Dome Cameras,Panasonic
Dome,WV-SF539,1920 x 1080,2,30,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Dome Cameras,Panasonic
Dome,WV-SF548,1920 x 1080,2,30,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Dome Cameras,Panasonic
Dome,WV-SF549,2048x1536,3,15,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Dome Cameras,Panasonic
Dome,WV-CP310,976 x 494,?,?,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Dome Cameras,Panasonic
Dome,WV-SC385,1280x960,1.3,30,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,PTZ Network Cameras,Panasonic
Dome,WV-SW395,1280 x 960,1.3,30,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,SnapshotJPEG,?,nphMotionJpeg,admin,12345,PTZ Network Cameras,Panasonic
Dome,WV-SW396,1280x960,1.3,30,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,SnapshotJPEG,?,nphMotionJpeg,admin,12345,PTZ Network Cameras,Panasonic
Dome,WV-SC384,1280x960,1.3,30,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,SnapshotJPEG,?,nphMotionJpeg,admin,12345,PTZ Network Cameras,Panasonic
Dome,WV-SC386,1280x960,1.3,30,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,PTZ Network Cameras,Panasonic
Dome,WV-SF438,1920x1080,3.1,30,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,PTZ Network Cameras,Panasonic
Dome,WV-SW458,1920x1080,3.1,30,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,PTZ Network Cameras,Panasonic
Dome,WV-SW598,1920x1080,2.4,30,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,PTZ Network Cameras,Panasonic
Dome,WV-SW396A,1280x960,1.3,30,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,PTZ Network Cameras,Panasonic
Dome,WV-SW395A,1280x960,1.3,30,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,PTZ Network Cameras,Panasonic
Dome,WV-CW594A,1280x960,1.3,30,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,PTZ Network Cameras,Panasonic
Dome,WV-SC588,1920x1080,2.4,30,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,PTZ Network Cameras,Panasonic
Dome,WV-NW502S,1920x1080,3,30,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Vandal-Resistant Network Cameras,Panasonic
Dome,WV-SF342,1280x720,1.3,30,NO,NO,YES,YES,NO,NO,YES,YES,YES,NO,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Vandal-Resistant Network Cameras,Panasonic
Dome,WV-SF346,1280x720,1.3,30,NO,NO,YES,YES,NO,NO,YES,YES,YES,NO,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Vandal-Resistant Network Cameras,Panasonic
Dome,WV-SW355,1280x720,1.3,30,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Vandal-Resistant Network Cameras,Panasonic
Dome,WV-SW352,1280x720,1.3,30,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Vandal-Resistant Network Cameras,Panasonic
Dome,WV-SW152,1280 x 960,1.3,30,YES,NO,NO,YES,NO,YES,NO,NO,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Vandal-Resistant Network Cameras,Panasonic
Dome,WV-SW155,1280 x 960,1.3,30,YES,NO,NO,YES,NO,YES,NO,NO,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Vandal-Resistant Network Cameras,Panasonic
Dome,WV-SW558,1920x1080,3.1,30,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Vandal-Resistant Network Cameras,Panasonic
Dome,WV-SW559,1920x1080,3.1,30,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Vandal-Resistant Network Cameras,Panasonic
Dome,WV-SW158,1920x1080,3,30,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Vandal-Resistant Network Cameras,Panasonic
Dome,WV-SFV611L,1280x720,2.4,60,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Vandal-Resistant Network Cameras,Panasonic
Dome,WV-SFV631L,1920x1080,2.4,30,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Vandal-Resistant Network Cameras,Panasonic
Dome,WV-SFR631L,1280x720,1.3,30,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Vandal-Resistant Network Cameras,Panasonic
Dome,WV-SFR611L,1920x1080,2.4,30,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Vandal-Resistant Network Cameras,Panasonic
Dome,WV-SW115,1280 x 960,1.3,30,YES,NO,NO,YES,NO,YES,NO,NO,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Vandal-Resistant Network Cameras,Panasonic