Model,Shape,Resolution,MegaPixel,FrameRate,PTZ,Infrared,Varifocal,SD Card Storage,Wifi,Onvif,Audio IN,Audio OUT,PoE,Upnp,JPEG URL,H264 URL,MJPEG URL,Default username,Default password,Detailed Shape / Type as in vendor catalog,Manufacturer
SNCCH110/B,Box,1280 x 960,1.3,30,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCCH110/S,Box,1280 x 960,1.3,30,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCCH120,Box,1280x1024,1.4,30,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCCH140,Box,1280x1024,1.4,30,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCCH210/B,Box,1920 x 1080,3,30,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCCH210/S,Box,1920 x 1080,3,30,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCCH220,Box,1920 x 1080,3.2,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCCH240,Box,1921 x 1080,3.2,30,NO,NO,YES,YES,NO,NO,YES,YES,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCCX600,Box,1280x720,1.3,30,NO,NO,NO,YES,NO,NO,YES,YES,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCCX600W,Box,1280x720,1.3,30,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCEB600,Box,1280 x 1024,1.3,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCEB600B,Box,1280 x 1024,1.3,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCEB630,Box,1920 x 1080,2.1,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCEB630B,Box,1920 x 1080,2.1,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCVB600,Box,1280 x 1024,1.3,60,NO,NO,NO,YES,NO,NO,YES,YES,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCVB600B,Box,1280 x 1024,1.3,30,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCVB630,Box,1280x1024,2.1,60,NO,NO,YES,YES,NO,NO,YES,YES,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCVB635,Box,1920x1080,2.3,60,NO,NO,YES,YES,NO,NO,YES,YES,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCCH160,Bullet,1280x1024,1.4,30,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCCH180,Bullet,1280 x 1024,1.4,30,NO,YES,YES,YES,NO,NO,YES,YES,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCCH260,Bullet,1920 x 1080,3.2,30,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCCH280,Bullet,1920 x 1080,3.2,?,NO,YES,YES,YES,NO,NO,YES,YES,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCDH110/B,Dome,1280Ã—960,1.3,30,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCDH110/W,Dome,1280x960,1.3,30,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCDH110T/B,Dome,1280x960,1.3,30,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCDH110T/W,Dome,1280x720,1.3,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCDH120,Dome,1280x720,1.4,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCDH120T,Dome,1280x720,1.4,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCDH140,Dome,1280x720,1.4,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCDH140T,Dome,1280x720,1.4,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCDH160,Dome,1280x720,1.4,30,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCDH180,Dome,1280x720,1.4,30,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCDH210/B,Dome,1280x720,3,30,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCDH210/W,Dome,1280x720,3,30,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCDH210T/B,Dome,1280x720,3,30,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCDH210T/W,Dome,1280x720,3,30,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCDH220,Dome,1920 x 1080,3.2,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCDH220T,Dome,1920x1080,3.2,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCDH240,Dome,1920x1080,3.2,30,NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCDH240T,Dome,1920x1080,3.2,30,NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCDH260,Dome,1920x1080,3.2,30,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCDH280,Dome,1920x1080,3.2,30,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCEM600,Dome,1280 x 1024,1.3,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCEM601,Dome,1280 x 1024,1.3,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCEM602R,Dome,1280 x 1024,1.3,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCEM631,Dome,1920 x 1080,2.1,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCEM632R,Dome,1920 x 1080,2.1,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCHM662,Dome,2560 x 1920,5,?,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCRH124,Dome,1280 x 720,1.3,30,PTZ,NO,NO,YES,NO,NO,YES,YES,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCRH164,Dome,1280 x 720,1.3,30,PTZ,NO,NO,YES,NO,NO,NO,NO,NO,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCVM600,Dome,1280x1024,1.3,60,NO,NO,YES,YES,NO,NO,YES,YES,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCVM600B,Dome,1280x1024,1.3,30,NO,NO,YES,YES,NO,NO,YES,YES,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCVM601,Dome,1280x1024,1.3,60,NO,NO,YES,YES,NO,NO,YES,YES,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCVM601B,Dome,1280x1024,1.3,30,NO,NO,YES,YES,NO,NO,YES,YES,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCVM602R,Dome,1920 x 1080,1.3,60,NO,YES,YES,YES,NO,NO,YES,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCVM630,Dome,1920 x 1080,2.1,60,NO,NO,YES,YES,NO,NO,YES,YES,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCVM631,Dome,1920 x 1080,2.1,60,NO,NO,YES,YES,NO,NO,YES,YES,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCVM632R,Dome,1920 x 1080,2.1,60,NO,YES,YES,YES,NO,NO,YES,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCWR600,Dome,1280x720,1.3,60,PTZ,NO,NO,YES,NO,NO,YES,YES,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCWR602,Dome,1280x720,1.3,60,PTZ,NO,NO,YES,NO,NO,YES,YES,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCWR630,Dome,1920x1080,2.3,60,PTZ,NO,YES,YES,NO,NO,YES,YES,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCWR632,Dome,1920x1080,2.3,60,PTZ,NO,NO,YES,NO,NO,YES,YES,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCXM632,Dome,1920 x 1080,2.1,30,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCXM636,Dome,1920 x 1080,2.1,30,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony
SNCXM637,Dome,1920 x 1080,2.1,30,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,oneshotimage.jpg,media/video1,mjpeg,admin,admin,,Sony