Manufacturer,Model,Wifi,Poe
Hikvision,DS-2CD2012-I,No,Yes
Hikvision,DS-2CD2015-I,No,Yes
Hikvision,DS-2CD2032-I,No,Yes
Hikvision,DS-2CD2035-I,No,Yes
Hikvision,DS-2CD2112-I,No,Yes
Hikvision,DS-2CD2115-I,No,Yes
Hikvision,DS-2CD2132-I,No,Yes
Hikvision,DS-2CD2135-I,No,Yes
Hikvision,DS-2CD2212-I5,No,Yes
Hikvision,DS-2CD2232-I5,No,Yes
Hikvision,DS-2CD2312-I,No,Yes
Hikvision,DS-2CD2332-I,No,Yes
Hikvision,DS-2CD2412F-I(W),Yes,Yes
Hikvision,DS-2CD2415F-IW(R),Yes,Yes
Hikvision,DS-2CD2432F-I(W),Yes,Yes
Hikvision,DS-2CD2512-I(S)(W),Yes,Yes
Hikvision,DS-2CD2515-IWS(R),Yes,Yes
Hikvision,DS-2CD2532-I(S)(W),Yes,Yes
Hikvision,DS-2CD2612F-I(S),No,Yes
Hikvision,DS-2CD2615-IS(R),No,Yes
Hikvision,DS-2CD2632F-I(S),No,Yes
Hikvision,DS-2CD2712F-I(S),No,Yes
Hikvision,DS-2CD2715F-IS(R),No,Yes
Hikvision,DS-2CD2732F-I(S),No,Yes
Hikvision,DS-2CD4012F-(A)(P)(W),Yes,Yes
Hikvision,DS-2CD4012FWD-(A)(P)(W),Yes,Yes
Hikvision,DS-2CD4024F-(A)(P)(W),Yes,Yes
Hikvision,DS-2CD4032FWD-(A)(P)(W),Yes,Yes
Hikvision,DS-2CD4112F-I(Z),No,Yes
Hikvision,DS-2CD4124F-I(Z),No,Yes
Hikvision,DS-2CD4132FWD-I(Z),No,Yes
Hikvision,DS-2CD4212F-I(Z)(H)(S),No,Yes
Hikvision,DS-2CD4212FWD-I(Z)(H)(S),No,Yes
Hikvision,DS-2CD4224F-I(Z)(H)(S),No,Yes
Hikvision,DS-2CD4232FWD-I(Z)(H)(S),No,Yes
Hikvision,DS-2CD4312F-I(Z)(H)(S),No,Yes
Hikvision,DS-2CD4312FWD-I(Z)(H)(S),No,Yes
Hikvision,DS-2CD4324F-I(Z)(H)(S),No,Yes
Hikvision,DS-2CD4332FWD-I(Z)(H)(S),No,Yes
Hikvision,DS-2CD6026FHWD-(A),No,Yes
Hikvision,DS-2CD6412FWD,No,Yes
Hikvision,DS-2CD702/712P(N)F-E [DISCONTINUED],No,Yes
Hikvision,DS-2CD7133-E [DISCONTINUED],No,Yes
Hikvision,DS-2CD7153-E,No,Yes
Hikvision,DS-2CD7164-E,No,Yes
Hikvision,DS-2CD7233F-E(I)Z(H),No,Yes
Hikvision,DS-2CD7253F-E(I)Z(H),No,Yes
Hikvision,DS-2CD7254F-E(I)Z(H),No,Yes
Hikvision,DS-2CD7254FWD-E(I)Z(H),No,Yes
Hikvision,DS-2CD7255F-E(I)Z(H),No,Yes
Hikvision,DS-2CD7264FWD-E(I)Z(H),No,Yes
Hikvision,DS-2CD7283F-E(I)Z(H),No,Yes
Hikvision,DS-2CD732F(-E) [DISCONTINUED],No,No
Hikvision,DS-2CD733F-E(I)(Z),No,Yes
Hikvision,DS-2CD7353F-E(I) [DISCONTINUED],No,Yes
Hikvision,DS-2CD752MF-(I)FB(H) [DISCONTINUED],No,No
Hikvision,DS-2CD752MF-E [DISCONTINUED],No,No
Hikvision,DS-2CD753F-E(I)(Z,No,Yes
Hikvision,DS-2CD754F-E(I)(Z),No,Yes
Hikvision,DS-2CD754FWD-E(I)(Z),No,Yes
Hikvision,DS-2CD755F-E(I)(Z),No,Yes
Hikvision,DS-2CD762MF-(I)FB(H) [DISCONTINUED],No,No
Hikvision,DS-2CD763P(N)F-E(I)(Z [DISCONTINUED],No,Yes
Hikvision,DS-2CD764F-E(I)(Z),No,Yes
Hikvision,DS-2CD764FWD-E(I)(Z),No,Yes
Hikvision,DS-2CD783F-E(I)(Z),No,Yes
Hikvision,DS-2CD793P(N)F-E(I)(Z),No,Yes
Hikvision,DS-2CD793P(N)FWD-E(I)(Z),No,Yes
Hikvision,DS-2CD802/812/892P(N)-IR1 [DISCONTINUED],No,No
Hikvision,DS-2CD802/812/892P(N)-IR3 [DISCONTINUED],No,No
Hikvision,DS-2CD802/812/892P(N)-IR5 [DISCONTINUED],No,No
Hikvision,DS-2CD802/812P(N)F-E(W) [DISCONTINUED],Yes,No
Hikvision,DS-2CD8133F-E [DISCONTINUED],No,Yes
Hikvision,DS-2CD8153F-E [DISCONTINUED],No,Yes
Hikvision,DS-2CD8233F-EI(Z),No,Yes
Hikvision,DS-2CD8253F-EI(Z),No,Yes
Hikvision,DS-2CD8254F-EI(Z),No,Yes
Hikvision,DS-2CD8254FWD-EI(Z),No,Yes
Hikvision,DS-2CD8255F-EI(Z),No,Yes
Hikvision,DS-2CD8264F-EI(Z),No,Yes
Hikvision,DS-2CD8264FWD-EI(Z,No,Yes
Hikvision,DS-2CD8264FWD-EI(Z),No,Yes
Hikvision,DS-2CD832F(-E) [DISCONTINUED],No,No
Hikvision,DS-2CD833F-E(W),Yes,Yes
Hikvision,DS-2CD8464F-EIW,Yes,Yes
Hikvision,DS-2CD853F-E(W),Yes,Yes
Hikvision,DS-2CD854F-E(W),Yes,Yes
Hikvision,DS-2CD855-EI3(EI5),No,Yes
Hikvision,DS-2CD855F-E,No,Yes
Hikvision,DS-2CD863P(N)F-E(W) [DISCONTINUED],Yes,Yes
Hikvision,DS-2CD864-EI3,No,Yes
Hikvision,DS-2CD864F-E(W),Yes,Yes
Hikvision,DS-2CD864FWD-E,No,Yes
Hikvision,DS-2CD876BF(MF) [DISCONTINUED],No,No
Hikvision,DS-2CD883F-E(W),Yes,Yes
Hikvision,DS-2CD893PF(NF)-E(W),Yes,Yes
Hikvision,DS-2CD893PF(NF)WD-E(W),Yes,Yes
Hikvision,DS-2CD893PF-E version no.1,No,Yes
