Shape,Model,Resolution,MegaPixel,FrameRate,PTZ,Infrared,Varifocal,SD Card Storage,Wifi,Onvif,Audio,PoE,UPnP,JPEG URL,H264 URL,MJPEG URL,user Manual,Data sheet,Page Reference,Manufacturer,Default username,Default password
FixedDome,SND-3080,?,?,30,NO,NO,NO,YES,No,YES,Bi-directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SND-3080_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SND-3080_Brochure_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/fixed-domes/SND-3080-%20F.aspx,Samsung,admin,4321
FixedDome,SND-3080C,?,?,30,NO,NO,NO,YES,No,YES,NO,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SND-3080C_UserManual.pdf,,https://www.samsung-security.com/products/security-cameras/network-cameras/fixed-domes/SND-3080C-CF.aspx,Samsung,admin,4321
FixedDome,SND-1080,640x480,?,30,NO,NO,YES,YES,No,YES,NO,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SND-1080_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SND-1080_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/fixed-domes/SND-1080.aspx,Samsung,admin,4321
FixedDome,SND-1011,640x480,?,30,NO,NO,YES,YES,No,YES,NO,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SND-1011_UserManual.pdf,,https://www.samsung-security.com/products/security-cameras/network-cameras/fixed-domes/SND-1011.aspx,Samsung,admin,4321
Vandal-Resistant Dome,SNV-6013,1920x1080,2,30,NO,NO,NO,YES,No,YES,NO,YES,YES,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-6013_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ip-vandal-resistant-domes/SNV-6013.aspx,Samsung,admin,4321
Vandal-Resistant Dome,SNV-7084,1920x1080,3,60,NO,NO,YES,YES,No,YES,Bi-directional,YES,YES,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-7084_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ip-vandal-resistant-domes/SNV-7084.aspx,Samsung,admin,4321
Vandal-Resistant Dome,SNV-7084R,1920x1080,3,60,NO,NO,YES,YES,No,YES,Bi-directional,YES,YES,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-7084R_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ip-vandal-resistant-domes/SNV-7084R.aspx,Samsung,admin,4321
Vandal-Resistant Dome,SNV-6012M,1080p,2,60,NO,NO,YES,YES,No,YES,NO,YES,YES,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-6012M_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-6012M_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ip-vandal-resistant-domes/SNV-6012M.aspx,Samsung,admin,4321
Vandal-Resistant Dome,SNV-5084,1280 x 1024,1.3,60,NO,NO,YES,YES,No,YES,Bi-directional,YES,YES,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-5084_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ip-vandal-resistant-domes/SNV-5084.aspx,Samsung,admin,4321
Vandal-Resistant Dome,SNV-6084,1920 x 1080,2,60,NO,NO,YES,YES,No,YES,Bi-directional,YES,YES,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-6084_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ip-vandal-resistant-domes/SNV-6084.aspx,Samsung,admin,4321
Vandal-Resistant Dome,SNV-6084R,1920 x 1080,2,60,NO,NO,YES,YES,No,YES,Bi-directional,YES,YES,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-6084R_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-6084R_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ip-vandal-resistant-domes/SNV-6084R.aspx,Samsung,admin,4321
Vandal-Resistant Dome,SNV-7080,2048 x 1536,3,30,NO,NO,YES,YES,No,YES,Bi-directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-7080_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-7080_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ip-vandal-resistant-domes/SNV-7080.aspx,Samsung,admin,4321
Vandal-Resistant Dome,SNV-7082,2048 x 1536,3,30,NO,NO,YES,YES,No,YES,Bi-directional,YES,YES,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-7082_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-7082_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ip-vandal-resistant-domes/SNV-7082.aspx,Samsung,admin,4321
Vandal-Resistant Dome,SNV-7080R,2058 x 1536,3,30,NO,NO,YES,YES,No,YES,Bi-directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-7080R_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-7080R_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ip-vandal-resistant-domes/SNV-7080R.aspx,Samsung,admin,4321
Vandal-Resistant Dome,SNV-5080,1280 x 1024,1.3,30,NO,NO,YES,YES,No,YES,Bi-directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-5080_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-5080_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ip-vandal-resistant-domes/SNV-5080.aspx,Samsung,admin,4321
Vandal-Resistant Dome,SNV-5010,1280 x 1024,1.3,30,NO,NO,No,No,No,YES,No,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-5010_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-5010_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ip-vandal-resistant-domes/SNV-5010.aspx,Samsung,admin,4321
Vandal-Resistant Dome,SNV-3082,?,?,30,NO,NO,YES,Yes,No,YES,Bi-directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-3082_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-3082_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ip-vandal-resistant-domes/SNV-3082.aspx,Samsung,admin,4321
Vandal-Resistant Dome,SNV-3120,?,?,30,NO,NO,YES,Yes,No,YES,Bi-directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-3120_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-3120_Datsheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ip-vandal-resistant-domes/SNV-3120.aspx,Samsung,admin,4321
Vandal-Resistant Dome,SNV-3080,?,?,30,NO,NO,YES,Yes,No,YES,Bi-directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-3080_UserManual.pdf,,https://www.samsung-security.com/products/security-cameras/network-cameras/ip-vandal-resistant-domes/SNV-3080.aspx,Samsung,admin,4321
Vandal-Resistant Dome,SNV-1080,640x480,?,30,NO,NO,YES,Yes,No,YES,Bi-directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-1080_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-1080_DataSheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ip-vandal-resistant-domes/SNV-1080.aspx,Samsung,admin,4321
Vandal-Resistant Dome,SNV-1080R,640x480,?,30,NO,NO,YES,Yes,No,YES,Bi-directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-1080R_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNV-1080R_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ip-vandal-resistant-domes/SNV-1080R.aspx,Samsung,admin,4321
PTZ Domes,SNP-6320,1920 x 1080,2,60,YES,NO,NO,YES,No,YES,Bi-directional,YES,YES,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-6320_6320H_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ptz-domes/SNP-6320.aspx,Samsung,admin,4321
PTZ Domes,SNP-6320H,1920 x 1080,2,60,YES,NO,NO,YES,No,YES,Bi-directional,YES,YES,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-6320_6320H_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ptz-domes/SNP-6320H.aspx,Samsung,admin,4321
PTZ Domes,SNP-6200RH,1920x1080,2,30,YES,NO,NO,YES,No,YES,Bi-directional,YES,YES,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-6200RH_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-6200RH_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ptz-domes/SNP-6200RH.aspx,Samsung,admin,4321
PTZ Domes,SNP-5300,1280x1024,1.3,30,YES,NO,NO,YES,No,YES,Bi-directional,YES,YES,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-5300_5300H_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-5300_5300H_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ptz-domes/SNP-5300.aspx,Samsung,admin,4321
PTZ Domes,SNP-5300H,1280x1024,1.3,30,YES,NO,NO,YES,No,YES,YES,YES,YES,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-5300_5300H_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-5300_5300H_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ptz-domes/SNP-5300H.aspx,Samsung,admin,4321
PTZ Domes,SNP-6201,1920 x 1080,2,30,YES,NO,NO,YES,No,YES,Bi-directional,YES,YES,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-6201_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-6201_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ptz-domes/SNP-6201.aspx,Samsung,admin,4321
PTZ Domes,SNP-6201H,1920 x 1080,2,30,YES,NO,NO,YES,No,YES,Bi-directional,YES,YES,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-6201H_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-6201H_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ptz-domes/SNP-6201H.aspx,Samsung,admin,4321
PTZ Domes,SNP-6200H,1080p,2,30,YES,NO,NO,YES,No,YES,Bi-directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-6200-6200H_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-6200-6200H_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ptz-domes/SNP-6200H.aspx,Samsung,admin,4321
PTZ Domes,SNP-6200,1080p,2,30,YES,NO,NO,YES,No,YES,Bi-directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-6200-6200H_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-6200-6200H_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ptz-domes/SNP-6200.aspx,Samsung,admin,4321
PTZ Domes,SNP-5200,1280 x 1024,1.3,30,YES,NO,NO,YES,No,YES,Bi-directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-5200H_5200_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-5200_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ptz-domes/SNP-5200.aspx,Samsung,admin,4321
PTZ Domes,SNP-5200H,1280 x 1024,1.3,30,YES,NO,NO,YES,No,YES,Bi-directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-5200H_5200_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-5200_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ptz-domes/SNP-5200H.aspx,Samsung,admin,4321
PTZ Domes,SNP-3371TH,4CIF,?,30,YES,NO,NO,YES,No,YES,Bi-directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-3371_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-3371TH_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ptz-domes/SNP-3371TH.aspx,Samsung,admin,4321
PTZ Domes,SNP-3371,4CIF,?,30,YES,NO,NO,YES,No,YES,Bi-directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-3371_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-3371_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ptz-domes/SNP-3371.aspx,Samsung,admin,4321
PTZ Domes,SNP-3302H,4CIF,?,30,YES,NO,NO,YES,No,YES,Bi-directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-3302H_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-3302H_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ptz-domes/SNP-3302H.aspx,Samsung,admin,4321
PTZ Domes,SNP-3120,4CIF,?,30,YES,NO,NO,YES,No,YES,Bi-directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-3120_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-3120_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ptz-domes/SNP-3120.aspx,Samsung,admin,4321
PTZ Domes,SNP-3121,4CIF,?,30,YES,NO,NO,YES,No,YES,Bi-directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-3120V_UserManual,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-3120V_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ptz-domes/SNP-3120V.aspx,Samsung,admin,4321
PTZ Domes,SNP-3122,4CIF,?,30,YES,NO,NO,YES,No,YES,Bi-directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-3120VH_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNP-3120VH_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/ptz-domes/SNP-3120VH.aspx,Samsung,admin,4321
Box,SNH-P6410BN,1920x1080,?,30,no,no,no,yes,yes,no,Bi-directional,no,yes,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNH-P6410BN_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/wireless-ip-cameras/SNH-P6410BN.aspx,Samsung,admin,4321
Box,SNH-1011,640X480,?,30,no,no,no,no,yes,no,Bi-directional,no,yes,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNH-1011_Usermanual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNH-1011N_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/wireless-ip-cameras/SNH-1011.aspx,Samsung,admin,4321